asset,window_id,reference_date,window_start_date,window_end_date,tau,embedding_dimension,n_window_obs,n_embedding_points,homology_dimension,tp_h1_real,n_h1_features_real,surrogate_count,surrogate_mean,surrogate_std,surrogate_median,surrogate_min,surrogate_max,envelope_lower,envelope_upper,lower_quantile,upper_quantile,above_envelope,below_envelope,inside_envelope,distance_to_surrogate_mean,z_score_vs_surrogates,n_h1_features,volatility_window,volatility_annualized
PETR4.SA,638,2023-02-06,2022-11-11,2023-02-06,3,5,60,48,1,4.487255692481995,26,1000,2.1475580655634405,0.98292918663471,2.072746217250824,0.10059171915054321,5.770611047744751,0.5982269704341888,4.414263287186621,0.025,0.975,True,False,False,2.339697626918554,2.380331827289676,26,0.028843420557322138,0.4578751065307345
PETR4.SA,657,2023-06-27,2023-03-30,2023-06-27,3,5,60,48,1,4.428752422332764,25,1000,2.174575369000435,0.9740632520894095,2.034593343734741,0.24043625593185425,7.257934212684631,0.635191299021244,4.371739917993545,0.025,0.975,True,False,False,2.2541770533323287,2.3141998720278356,25,0.021726402811339637,0.3448959523369155
PETR4.SA,658,2023-07-04,2023-04-06,2023-07-04,3,5,60,48,1,4.925277948379517,26,1000,2.181309615880251,0.9500568453661723,2.0458537340164185,0.18858635425567627,6.015923500061035,0.6628413192927838,4.314470064640045,0.025,0.975,True,False,False,2.7439683324992656,2.888214895648356,26,0.022077016672745937,0.35046177483787433
PETR4.SA,659,2023-07-11,2023-04-14,2023-07-11,3,5,60,48,1,5.388414978981018,28,1000,2.195719570875168,0.9855279813906069,2.0394634306430817,0.1906290054321289,6.063318729400635,0.6559472993016243,4.469858902692794,0.025,0.975,True,False,False,3.19269540810585,3.239578650624277,28,0.021593696770324976,0.34278930924491113
PETR4.SA,660,2023-07-18,2023-04-24,2023-07-18,3,5,60,48,1,4.949171185493469,23,1000,2.2137193633019923,0.9863960533248392,2.0999898612499237,0.051039040088653564,6.9849560260772705,0.7115775272250175,4.531339171528816,0.025,0.975,True,False,False,2.735451822191477,2.773177987656283,23,0.02116356931037092,0.3359612474983212
PETR4.SA,775,2025-11-03,2025-08-12,2025-11-03,3,5,60,48,1,4.749421000480652,25,1000,2.1585374328494074,1.0009443672332679,2.020100176334381,0.23364686965942383,6.009239435195923,0.6200778871774674,4.465710142254829,0.025,0.975,True,False,False,2.5908835676312445,2.5884391305310626,25,0.009639852588081477,0.15302791574031574
VALE3.SA,35,2010-12-14,2010-09-17,2010-12-14,5,5,60,40,1,4.185343861579895,24,1000,1.7973151974678039,0.8645407906516808,1.6617603302001953,0.09356051683425903,5.124264240264893,0.4726254552602768,3.697562178969383,0.025,0.975,True,False,False,2.388028664112091,2.7621931665156283,24,0.014637056997415701,0.2323560764462384
VALE3.SA,36,2010-12-21,2010-09-24,2010-12-21,5,5,60,40,1,3.8491629362106323,21,1000,1.7970008670985698,0.85840801634462,1.6669278144836426,0.07807332277297974,5.621578574180603,0.46142336130142214,3.6754841178655613,0.025,0.975,True,False,False,2.052162069112063,2.3906604202635884,21,0.014385495914243356,0.22836266805254204
VALE3.SA,37,2010-12-29,2010-10-01,2010-12-29,5,5,60,40,1,5.38142716884613,23,1000,1.7896360260248185,0.8495248231667448,1.687212973833084,0.014410734176635742,5.8543184995651245,0.4865085020661354,3.645223724842071,0.025,0.975,True,False,False,3.591791142821312,4.228000224210417,23,0.014256746263147225,0.22631883070342185
VALE3.SA,38,2011-01-06,2010-10-08,2011-01-06,5,5,60,40,1,5.065032601356506,19,1000,1.8124617438912392,0.8519510660554919,1.7189524471759796,0.12955915927886963,5.330187559127808,0.39587792903184893,3.7381253242492662,0.025,0.975,True,False,False,3.252570857465267,3.8177907007318783,19,0.015076467846316619,0.23933150742369205
VALE3.SA,91,2012-01-30,2011-11-03,2012-01-30,5,5,60,40,1,3.8789143562316895,17,1000,1.8100720065236091,0.8453829363268061,1.7066654562950134,0.07407927513122559,4.842922806739807,0.4647220641374588,3.778496921062468,0.025,0.975,True,False,False,2.0688423497080803,2.4472251104300886,17,0.018278783410277347,0.29016669103444187
VALE3.SA,92,2012-02-06,2011-11-10,2012-02-06,5,5,60,40,1,3.9314128160476685,19,1000,1.7806987159848213,0.8653093664980249,1.6504112780094147,0.10565757751464844,6.719150424003601,0.47653043568134307,3.7048951268196095,0.025,0.975,True,False,False,2.150714100062847,2.4854857503356937,19,0.017995324505227863,0.28566692041643627
VALE3.SA,93,2012-02-13,2011-11-18,2012-02-13,5,5,60,40,1,4.170848727226257,19,1000,1.7856314376294613,0.8786499248052891,1.6447065472602844,0.10918879508972168,6.088997840881348,0.46095115691423416,3.812037479877471,0.025,0.975,True,False,False,2.3852172895967962,2.7146389275858254,19,0.018044633881524465,0.28644968249834335
VALE3.SA,113,2012-07-11,2012-04-16,2012-07-11,5,5,60,40,1,3.7058534622192383,19,1000,1.7990749042630196,0.8534001931049388,1.6836345791816711,0.12676149606704712,6.017717719078064,0.43778576999902724,3.6749694705009444,0.025,0.975,True,False,False,1.9067785579562186,2.234331059873279,19,0.016772366222878088,0.26625305954301093
VALE3.SA,140,2013-01-30,2012-10-29,2013-01-30,5,5,60,40,1,3.89171826839447,22,1000,1.8142494815587997,0.8642035507139917,1.7207356095314026,0.025896191596984863,5.761241793632507,0.4476790636777878,3.8196430653333664,0.025,0.975,True,False,False,2.0774687868356705,2.4039114223949873,22,0.016260814031300985,0.25813242025375244
VALE3.SA,164,2013-07-25,2013-04-30,2013-07-25,5,5,60,40,1,4.496203422546387,18,1000,1.8665436371564865,0.905676521912413,1.7574005722999573,0.16185927391052246,5.776025652885437,0.47745928913354874,4.109908965229987,0.025,0.975,True,False,False,2.6296597853899,2.9035309205511366,18,0.02261937179410126,0.359071395478205
VALE3.SA,165,2013-08-01,2013-05-08,2013-08-01,5,5,60,40,1,4.005744576454163,15,1000,1.8377010412812234,0.8982534988226758,1.7264119386672974,0.10636389255523682,5.997468590736389,0.4937708765268326,3.9291684895753853,0.025,0.975,True,False,False,2.1680435351729392,2.4136210301596974,15,0.022160446569333338,0.3517861833875429
VALE3.SA,167,2013-08-15,2013-05-22,2013-08-15,5,5,60,40,1,4.054507613182068,13,1000,1.7915163241922856,0.8585998577945018,1.6681454181671143,0.20014971494674683,5.64605450630188,0.44389150440692904,3.7419050931930533,0.025,0.975,True,False,False,2.2629912889897823,2.6356762914016336,13,0.022394645373109603,0.3555039741403878
VALE3.SA,168,2013-08-22,2013-05-29,2013-08-22,5,5,60,40,1,3.7687355279922485,17,1000,1.8117315576672555,0.8437917211921433,1.707798182964325,0.06353461742401123,5.7484718561172485,0.48127012252807616,3.631650114059448,0.025,0.975,True,False,False,1.957003970324993,2.319297429891891,17,0.022797001889943144,0.3618911858319542
VALE3.SA,174,2013-10-03,2013-07-12,2013-10-03,5,5,60,40,1,3.676009774208069,19,1000,1.7718828338086605,0.835238799181895,1.6912580132484436,0.2099822759628296,6.20813250541687,0.48307993859052656,3.589760726690292,0.025,0.975,True,False,False,1.9041269403994083,2.279739569407545,19,0.017277868064449014,0.274277652503502
VALE3.SA,185,2013-12-23,2013-09-27,2013-12-23,5,5,60,40,1,4.2290836572647095,18,1000,1.8622358305752278,0.9076549622186696,1.739746481180191,0.1477230191230774,5.754745721817017,0.5368739247322083,4.185497891902923,0.025,0.975,True,False,False,2.3668478266894817,2.607651503280459,18,0.01650422097717916,0.2619963857308289
VALE3.SA,186,2014-01-03,2013-10-04,2014-01-03,5,5,60,40,1,5.05732786655426,16,1000,1.8501011024713516,0.888116063397735,1.7180153131484985,0.1444946527481079,5.393682837486267,0.4760811150074005,4.03097542822361,0.025,0.975,True,False,False,3.2072267640829084,3.611269851164239,16,0.01677215042515071,0.26624963386029016
VALE3.SA,187,2014-01-10,2013-10-11,2014-01-10,5,5,60,40,1,4.796876072883606,19,1000,1.8446424947977067,0.8644442388961237,1.705241084098816,0.14793801307678223,5.615045428276062,0.5029315322637558,3.83755584359169,0.025,0.975,True,False,False,2.9522335780858993,3.4151810437835026,19,0.017466705356890738,0.2772753515878355
VALE3.SA,188,2014-01-17,2013-10-18,2014-01-17,5,5,60,40,1,4.204902410507202,16,1000,1.8233752777576446,0.8500383839980609,1.691577672958374,0.02303135395050049,5.4810322523117065,0.550410407781601,3.8333941519260404,0.025,0.975,True,False,False,2.3815271327495573,2.8016701099405767,16,0.016268930133814564,0.25826125938694866
VALE3.SA,197,2014-03-25,2013-12-26,2014-03-25,5,5,60,40,1,4.02070152759552,21,1000,1.8272858348488807,0.8627917185519562,1.7331022024154663,0.1963123083114624,5.336640000343323,0.5163857340812683,3.6934525936841953,0.025,0.975,True,False,False,2.1934156927466395,2.5422308137448293,21,0.01848353508651081,0.29341702312946605
VALE3.SA,198,2014-04-01,2014-01-06,2014-04-01,5,5,60,40,1,4.090463161468506,23,1000,1.8056677303314208,0.8594244842207791,1.6876050233840942,0.08319973945617676,5.511154055595398,0.4686477810144425,3.8479944765567766,0.025,0.975,True,False,False,2.284795431137085,2.658517965320313,23,0.01809806529810641,0.28729787994118566
VALE3.SA,203,2014-05-09,2014-02-10,2014-05-09,5,5,60,40,1,4.004213452339172,15,1000,1.7895224356651307,0.8434373871855477,1.657690942287445,0.12362360954284668,4.985244512557983,0.45866475701332093,3.6399986267089828,0.025,0.975,True,False,False,2.214691016674042,2.625791849308705,15,0.01660769421759678,0.263638972499799
VALE3.SA,204,2014-05-16,2014-02-17,2014-05-16,5,5,60,40,1,3.9076985120773315,18,1000,1.7970312903523444,0.8253017796171735,1.7004297375679016,0.142391175031662,4.584469318389893,0.5061866328120231,3.6597028821706767,0.025,0.975,True,False,False,2.110667221724987,2.5574490130192693,18,0.01777008001227673,0.282091274941223
VALE3.SA,206,2014-05-30,2014-03-05,2014-05-30,5,5,60,40,1,4.023524641990662,17,1000,1.8091178935170174,0.8736492771972245,1.675711989402771,0.12078821659088135,5.60923159122467,0.4965339407324791,3.735452914237976,0.025,0.975,True,False,False,2.2144067484736443,2.5346632868257344,17,0.017998629045166598,0.2857193783616885
